y_texts,y_pred_probs,y_pred
americanair flight dfw lit way pdx tomorrow cancelled flighted help,[ 2.1914558  1.005671  -3.5416906],0
united poor customer service think befor flight booking problems another united flight,[ 5.4737563 -2.7488875 -2.651811 ],0
united joni great job flight lax thanks great flight,[-3.331     -1.9654676  5.8785377],2
united broken luggage mild case food poisoning ua lhriah email,[ 4.09069    -0.31720942 -3.7579944 ],0
southwestair traditionally used sledge hammer low taking share driving scalpel approach data science,[ 3.193469   -0.48691547 -2.760124  ],0
southwestair thanks info quick response,[-3.2922447 -1.9458137  5.9462957],2
jetblue great thank lets hope could please notify flight leaves jfk thank,[-3.82644    -0.91456586  5.4032025 ],2
united inadequate accident,[ 4.680867  -2.5102756 -2.221763 ],0
united coupled selfservice policiescost cutting exacerbates noted issues,[ 5.339628  -1.9786696 -3.4935586],0
americanair cant unload flight jetway broken nearly hour,[ 5.4922514 -2.5758083 -2.8514032],0
united get namesdallas flight chicago,[-2.1082876  5.346379  -3.1875567],1
jetblue get honest update departure flite plane infant children,[ 5.418349  -2.5000665 -2.973931 ],0
virginamerica lost luggage days ago flight vx lax iad amp im calling every day responseplease give back stuff,[ 4.459213  -1.955483  -2.7012255],0
americanair ahhhh silence golden tops anyone get fired,[ 4.0832872 -0.8113279 -3.5509756],0
united landed boston last night hours traveling rough tho,[ 3.7017004  -3.390873   -0.17909291],0
usairways nice touch using first name intimate ill filing claim soon reimbursed us airways day,[ 3.0442762 -1.9237376 -1.0826281],0
united also mere fact go online issue statement vice calling talking directly one good example,[ 3.3125715 -2.2777088 -1.1369997],0
jetblue thank,[-3.4234679  0.4474736  3.3877966],2
usairways us gate open mins waiting great way finish hour delayed arrival,[ 5.587461  -2.7197564 -2.7766945],0
jetblue flight ewr fll,[ 0.73077077  2.120436   -2.7162948 ],1
southwestair ive hold customer service hour help,[ 5.2984476 -2.3815129 -2.9267533],0
united hey missed outbound flight still use return ticket,[ 4.1127644 -0.8226528 -3.4810255],0
jetblue alright hope jetblue app showing change seats online shows dont want surprises,[ 5.188844  -2.0626361 -3.141611 ],0
southwestair way receive refund trip cancelled flight online instead calling phone lines super busy,[ 4.187533  -2.1191828 -2.158306 ],0
united thanks makes sense annoying cant determined better,[-0.1927616 -2.0648355  2.5209525],2
usairways would rather plane get exposed nasty contagious virus work wth get flight changed late flightr date,[ 5.5290475 -2.8177073 -2.75207  ],0
americanair landed lit,[ 0.80240583 -2.0192177   1.5650269 ],2
southwestair gate agent rerouted impossible itinerary find new airline get us home super bummed,[ 5.294911 -3.18537  -2.109535],0
jetblue apparently pilot made announcement engine trouble losing fuel quickly,[ 5.3515925 -3.168187  -2.2150233],0
virginamerica brilliant brisk boston cue vx,[-4.4380565  1.8012472  2.6763945],2
americanair stiiiil waiting please respond flight leaves hrs,[ 5.161977 -2.797943 -2.300727],0
southwestair need cancelled flight one leg flight cant seem online hold phone minutes help,[ 5.022152  -2.648653  -2.4366992],0
americanair cancelled flights flight doesnt send email text call im stranded louisville,[ 5.4867935 -2.9619513 -2.440007 ],0
jetblue bag supposedly boston,[ 4.5489945 -2.3160193 -2.2519026],0
united customer care email phone rep speak many issues cant placed characters,[ 5.629383  -2.608918  -2.8925679],0
united lounge tells us pillows grandma one ladies opens closet see right,[ 1.7689346  1.9090048 -3.8010466],1
americanair beyond redemption jfk baggage claim looks like luggage warehouse,[ 5.178942  -2.2615302 -2.9109051],0
virginamerica policy flying surgery,[-1.3187008  3.9550438 -2.7885382],1
united going min waiting plane vacate gate,[ 5.254785  -2.9100409 -2.3095465],0
americanair luggage forgot oscar😄💝💝💝,[-1.4964668   1.1526049   0.41075882],1
jetblue im,[-3.7844741  4.4971557 -0.9147687],1
southwestair assigned seating cousin amp probably cant sit together flight tomorrow thanks,[-2.5965059   3.2075183  -0.59475434],1
usairways flight cost happens fly united problems come us times,[ 4.8052216 -1.8661574 -3.0554578],0
usairways u lose flight plan ur flight crew faa timed thx havin us sit tarmac hr,[ 5.44151   -3.1821709 -2.2594368],0
united given,[-0.33053643  0.5570453  -0.18828203],1
americanair fyi twice ive tried well call someone free thing times called picked hung,[ 5.3111377 -2.885791  -2.2908025],0
americanair mean flights going buffalo locations dont care safety,[ 5.3327146 -2.3589733 -3.0239315],0
united ticketh biz trvlno wifimissed con fltnext one meeting food voucherhotel chkout wifi,[-0.7568826  2.7994547 -2.016832 ],1
americanair hour baggage carousel still luggage nail coffin,[ 5.576164  -2.4373295 -3.0746443],0
americanair airport snow removal method good work folks cessnas become,[-2.2598763  -0.30698842  2.7191648 ],2
southwestair would brighter stars combined red carpet tonight,[-3.304764   4.0498567 -1.0171282],1
usairways ive called resolve dividend miles issue week avail please advise asap,[ 4.817838  -1.5718827 -3.353916 ],0
jetblue shes standing cell announcements info,[ 3.9491885   0.94431496 -5.185534  ],0
usairways employee responsible social media content yes u probably care however actions last night say otherwise,[ 3.9302206 -1.7830285 -2.2477217],0
usairways,[ 2.645002  -0.9572037 -1.6324893],0
americanair gold status,[-3.4282565  1.6220275  1.8049535],2
americanair trying call day get hung every time guys horrible,[ 5.432239  -3.1298115 -2.1742315],0
southwestair go delayed chicago offer flight never intend fly,[ 5.2791667 -2.6988735 -2.5482457],0
southwestair th,[-0.9167492  4.5075145 -3.9177556],1
united haha clean plane held overnight hangar sounds lovely also dont lie screensand say weather,[ 1.0350758 -2.053122   1.1276668],2
southwestair trying find airfare family prices ridiculous almost usairways,[ 4.051588  -2.0589685 -2.0083416],0
americanair could let know im staying tonight youve booked anything would great go,[-4.3116727  4.7110896 -0.297781 ],1
jetblue shannonwoodward ill checking often probably hand oscars nerds geeks badly dressed,[ 3.31485   -0.6029573 -2.7585156],0
united illegal breach contract touch customer feedback,[ 5.511047  -1.7243624 -3.5666344],0
united wife two new destinations im stuck dc monday bags,[ 4.9679313 -2.626483  -2.1454973],0
usairways msscottwg thats unusual means screwed never admit,[ 5.408612  -3.0455515 -2.3646662],0
southwestair wont let leave newark,[ 4.1264052 -1.0112348 -3.0169513],0
americanair yes able get push notification via app i’m logged trip emailtext 😥,[ 1.8364716  2.0761976 -3.838286 ],1
united sat airport hrs still sitting gate sigh,[ 5.35019   -2.6126182 -2.7105987],0
southwestair terry hero got husband back thru security retrieve cellphone left plane austin terry u rock,[-2.9689708 -2.3774836  6.056598 ],2
americanair flight delayed flight sold seat flight strand phx three hours thanks memories 😡😤😖😲😩,[ 4.6543007 -2.3577545 -2.2632482],0
virginamerica jump dallasaustin market dallasnews,[-1.731464   5.0757794 -3.6200924],1
usairways fly quite bit difficult communicate agents let people know whats happening arrangements made,[ 5.618124  -2.8711333 -2.7737324],0
americanair message delayed responded,[ 4.4860644 -1.8763348 -2.6238883],0
americanair thats complete cop u ask issues nothing supposed sort situation,[ 5.391384  -3.01955   -2.3947465],0
southwestair experience worse flying experience ive ever met w contempt customer service makes worse,[ 5.5541515 -3.0108027 -2.5409415],0
jetblue smf jfk,[-0.8436877  3.9433773 -3.276546 ],1
jetblue word thanks,[-4.126249   -0.37245136  5.06163   ],2
“united rikrik made come help anything jp” free tickets convince,[ 1.9917969  -1.3870931  -0.66026175],0
united guys horrible first get stuck snow hr ewr sitting cmh saying could min gate,[ 5.5061717 -3.0309606 -2.3151357],0
united vacation days relevant ritz pr night losing day idiots sleeping newark ramada,[ 4.550608  -2.7443752 -1.7619922],0
southwestair baggage delivery bwi delayed unnecessarily chaotic disappointing long trip frequent traveler,[ 5.476265  -2.8014748 -2.6422749],0
jetblue u suck big donkey balls,[ 5.216394  -3.021067  -2.0954132],0
jetblue flew san francisco fort lauderdale last year fantastic time would like go back,[-2.6119773 -2.6294677  6.0319533],2
united please dont take membership away,[ 1.3682226   0.13318944 -1.5356752 ],0
southwestair plans implement callback system reflight booking problems line hold hour,[ 4.271353  -0.9870659 -3.336216 ],0
usairways plans support board usairways mc would nice still use forget card,[ 4.577735  -1.8669893 -2.79797  ],0
united bereavement discount airfare grandfather passed need attend funeral week,[-2.6793263  5.5509553 -3.1897578],1
united trying check tomorrows flight website keeps timing whats,[ 5.4515185 -2.5242987 -2.920559 ],0
usairways pretty sure didnt actually take,[ 5.2607474 -2.3741333 -2.9115336],0
jetblue try harder take winners attitude work,[ 4.75279   -2.7586887 -1.9247578],0
united nd time row ive charged plane ticket shouldnt check cc everytime,[ 5.1525083 -2.406482  -2.6230772],0
includes kciairport “southwestair inclement weather may impact scheduled service reflight booking problems options available,[ 0.02953861  3.8854907  -4.0256906 ],1
americanair thanks,[-2.5197365   0.19401933  2.6746986 ],2
usairways claudoakeshott dont need link getting person u say u dont know bags lost nonstop phx jfk,[ 5.4714513 -2.5407755 -2.9673595],0
usairways embarrassing,[ 5.11587   -3.2604353 -1.9272906],0
united miss ill never fly united,[ 5.366706  -2.8650038 -2.3704073],0
americanair would like reimbursed shuttle denver diversion hours sitting plane mech problems,[ 5.0529847 -1.9529948 -3.2379038],0
americanair thanks responsetough night involved flight got cancelled flightled started taxiing runway,[ 1.7002434 -3.1097333  1.4596947],0
united whats going ua outbound flight last thurs delayed hrs long delay,[ 5.5876207 -2.8925695 -2.6611288],0
united would like know whats going current flight lands,[ 3.5824385  1.3518709 -5.3346353],0
southwestair current promotionscodes nashvilledenver thank,[-4.7946353  3.701293   1.2618334],1
americanair flights dallas tuesday going cancelled flightled correct,[-1.0141699  4.5475554 -3.7899516],1
southwestair sweet promo code help visit family please lol,[-4.9687133  2.9370372  1.9632862],1
americanair oh aa speed dial,[ 0.0890125  2.531175  -2.9481804],1
americanair service horrible cant get straight answer ground agents,[ 5.4509716 -2.606169  -2.912618 ],0
southwestair best credit card useopen get miles yall,[-4.8207     1.1163793  3.9757726],2
americanair course thats companies job guys failed first place upgrade well talk,[ 5.1802707 -3.2592952 -1.9443179],0
virginamerica anyone anything today website useless one answering phone,[ 5.502387  -2.9968963 -2.5064878],0
insulting usairways americanair offer non required voucher goodwill offeringat least bag fly round trip,[ 4.808948  -2.155964  -2.6086285],0
united worst nonrefundable first class tickets oh select globalfc system auto selects economy wupgrade,[ 5.433804  -2.9852204 -2.4258304],0
americanair maintenance sits two days frozen lines found boarded come,[ 5.5749063 -2.9429023 -2.5547695],0
americanair drop call dont people answering phones always high call volume call,[ 5.5712028 -3.0004075 -2.5833294],0
southwestair yall real mvp prices,[-1.8752306  4.7903113 -3.1141727],1
jetblue tux itd date,[-2.2808435  5.4070296 -3.4777396],1
americanair feb th rep gave record locator told id receiving email itinerary confirmation,[ 0.13572523  4.1718764  -4.5135274 ],1
americanair fantastic thanks try tweet photo view,[-3.5125246 -1.316425   5.5646443],2
usairways fyi customer service rep carol absolute delight pleasant rebooked lightning speed thanks,[-1.8908061 -2.78389    5.5121613],2
jetblue always pleasure ☺️,[-3.5775812 -1.6045363  5.8659244],2
virginamerica told check airline regulation first contacted,[ 4.3352494 -0.8730058 -3.5092528],0
southwestair hot stewardess flipped,[-1.4016999 -1.8330599  4.1242356],2
usairways grandbabies weeks travel dc births thank reasonable fares see saturday,[-2.8792098 -1.9371845  5.3857822],2
united bag mia since wednesday still word well ever see,[ 5.5061817 -2.7612298 -2.6711435],0
jetblue afternoon flights going bqn jfk seem find early morning flights,[ 2.197085   1.2284256 -3.424414 ],0
americanair thanks actually made connection flight delayed guess delays bad thing,[ 0.4688167 -2.6493638  2.498568 ],2
united stuck yyz staff took break happy k,[ 4.7609296 -1.7272525 -2.9902399],0
united appalled lack communication awful journey ewr bos hr delays need explained better,[ 5.569301  -2.9103475 -2.6313627],0
usairways flight got cancelled flightled charlotte hold hour pls pick,[ 5.2071824 -2.9281576 -2.1955621],0
americanair suprise new vanity kit set frequent travellers 😀 thank aa,[-4.490422   -0.28938156  5.285218  ],2
united please tell clt flight needs gate waiting mins,[ 5.3870115 -2.1510797 -3.2515872],0
jetblues ceo battles appease passengers wall street waterbury republican american,[-0.52942055  3.21548    -2.7616217 ],1
jetblue big shoutout crews bosgtjfk amp jfkgtroc amp gate crews c bos amp jfk long day delays made better,[-2.513846  -2.3257432  5.419364 ],2
usairways consolation bags somewhere else real impediment going different vacation,[ 5.0693984 -2.1062365 -3.135517 ],0
usairways delayed flight times cancelled flighting angry rude workers providing helpful service,[ 5.4143987 -3.3023784 -2.1218617],0
united bummer might go americanair card instead ty response though,[-3.980625   0.6321501  3.6550496],2
americanair flight great fantastic cabin crew landing,[-1.8818234 -2.872184   5.3729744],2
southwestair flightspots time must,[-1.632755   1.1757308  0.5825809],1
usairways thehaileytate another blatant lie usairways,[ 5.376247  -2.2035925 -3.2192447],0
united ok thanks counters located late flight open,[ 3.1482122  -2.7753813  -0.39024794],0
usairways wouldnt need wait hold hours website worked correctly please respond,[ 5.404851  -2.971658  -2.4284656],0
americanair flying aa min delay mechanical issues perhaps consider maintenance,[ 5.3354497 -2.8630564 -2.5414612],0
united brian sfo customer service deserves raise gave extra meal voucher good joke cheer flight delay,[-1.0270325 -1.9008945  3.2969084],2
southwestair know one thing delta would never treat customers like,[ 5.405687  -2.6179316 -2.7288253],0
southwestair pilotsamp crew flt customer service professionals baggage claim outstanding thank,[-2.1761868 -2.4792478  5.288017 ],2
united tag bags airport hoping would actually arrive heres hoping arrive,[ 5.2310414 -2.7655313 -2.434171 ],0
jetblue ill read nice glass wine right dig heels next novel maybe travel need,[-3.719826   5.431989  -1.7363218],1
usairways americanair joke company today reminded never book,[ 5.1118155 -2.9605327 -1.8287631],0
united locked account needed access book flight,[ 4.5177073 -1.2333226 -3.2771761],0
americanair cancelled flight amp flights hrs longer amp layovers late flight find reasonably priced alternative,[ 5.615024  -2.5496147 -2.9397218],0
jetblue entire system go really,[ 5.122309  -2.4695637 -2.4398556],0
united oh sure planned occurs absolutely consistently usually yyj flight thats cancelled flightled daily,[ 5.1948476 -2.9910758 -2.2189465],0
southwestair never awful customer service conflicting service outrageous,[ 4.941719  -2.8775992 -2.0370035],0
jetblue sil bought tix us nyc told gate cc declined supervisor accused us illegal activity,[ 5.537241  -2.339403  -2.9634411],0
jetblue im session presented one beloved travelers paulgordonbrowni see love much,[-4.627216   1.3108479  3.5369859],2
united im rebooked flight tomorrow even though st class seat orig lousy coach seat,[ 1.8515173 -3.309955   1.4766119],0
united thinking could say many nice things getting upgraded delayed flight ok,[ 4.570751  -3.2142935 -1.5206549],0
usairways flight philly gt mia bwahahaha delayed hrs air mins turned back around,[ 5.432279  -2.6399724 -2.693011 ],0
united thanks,[-2.3703597   0.26930824  2.422474  ],2
united well one missed mark snit minute stepped counter,[ 4.71973   -2.2417674 -2.5944242],0
united thanks ground crews surprised flights arrive,[-1.613482 -2.047192  4.184627],2
united flying msp dxb child turn trip buy return ticket child,[-1.5117172  5.1540847 -4.19204  ],1
southwestair thanks good air side caution,[-3.2324393 -0.9485999  4.758676 ],2
jetblue airways hits new month high jblu wkrb news,[-3.8238504  5.1763186 -1.3966337],1
jetblue bags still fly free started charging thanks,[ 1.3444866  -1.313547    0.09077369],0
united dm sent thanks much strong customer service,[-2.681353  -2.3483725  5.6624675],2
united load balancing system apparently major impact airlines flights,[ 5.5157366 -2.630252  -2.8412473],0
usairways us costing get home today reason send receipts reimbursed,[ 4.6237626  -0.79010445 -3.782227  ],0
united okay thanks,[-3.909121   0.8257721  3.2625914],2
united cant even fit name first two lines yes please pass feedback big downgrade previous years,[ 4.9516854 -2.9119143 -1.9993027],0
americanair need talk get full refund trip call center offers assistance,[ 4.068882  -0.7991817 -3.5389678],0
usairways hotel voucher everyone get one mewhat arrived amsterdam,[-2.934738   5.0715175 -2.1294248],1
americanair seems little preoccupied thats im bringing attention flagging issue observer,[ 4.998406  -2.3873425 -2.6624496],0
jetblues new ceo robin hayes battles appease passengers wall street business savannah,[-1.3150479  4.211352  -3.1004045],1
usairways thank apology,[-3.1957395 -0.7726346  4.439403 ],2
southwestair horrible customer service empty seats early flight wantcharge double get home early instead usual late flight,[ 5.422159  -2.6869142 -2.752989 ],0
jetblue love guys sooooooo much ridiculously appreciated service,[-2.4446466 -2.6427538  5.8012776],2
usairways yes thanks took forever,[ 4.963522  -3.3776872 -1.6179429],0
jetblue seems never received id password,[ 4.779288  -1.832951  -2.9500642],0
united cause miss flight telling already left empathy gate staff crew apology really,[ 5.449078  -3.1727848 -2.2582135],0
usairways hold u mins wasting time amp dont appreciate,[ 5.5175557 -3.0963461 -2.4402153],0
usairways hell u left alliance joined world beyond smart move time start looking carriers,[ 4.310614  -2.9705765 -1.4837085],0
americanair watched bags abandoned depart gate watched gt mins owner returned mins reported,[ 5.540873  -2.2024286 -3.2909496],0
americanair looking status flight schedule tomorrow morning thank,[-3.9944768   4.7043376  -0.92005205],1
usairways make reservation well make excuses,[ 5.529627  -2.7257166 -2.6956027],0
americanair got new reservation tomorrow thanks,[-5.032045   3.3090012  1.6550466],1
usairways doesnt take days respond already open case,[ 5.505074  -3.128114  -2.3286345],0
usairways guys awake need help delayed flight get protected late flightr flight phl,[ 2.0403848   0.88206756 -3.4547894 ],0
jetblue cant dont acces phone rn iphone broke would rather change late flightr,[ 5.183931  -2.3929489 -2.7756631],0
united want contact someone question amp put hold minutes order hung sent pet line,[ 5.6468663 -2.7114785 -2.8674667],0
united changing program winners losers,[-0.66167575  4.365751   -3.9114702 ],1
americanair flight delayed amp cant talk reach anyone customer service high call volume,[ 5.594254  -2.7408254 -2.8189511],0
jetblue whats current checked bag price policy fly coming week couldnt find anything definitive,[ 1.0527481  3.5899236 -5.198726 ],1
virginamerica logan airport waiting checkin flight checkin desk open,[ 1.174334   3.2367594 -4.7606907],1
😩😩😩 “jetblue fleets fleek,[-2.9325948  5.511746  -2.7578874],1
usairways help flight cancelled flighted cant call phone doesnt work europe please help says im booked want confirm,[ 4.769592  -1.9053274 -2.9795268],0
united plus food taxis,[ 4.0997477 -1.3162242 -2.4338405],0
southwestair tried vip live vineyard yr site went time got redeem pts packages gone,[ 3.7573683 -1.2137958 -2.541242 ],0
southwestair secondly begin boarding time despite aircraft present deplaned thus left min late flight,[ 5.221628  -2.2301939 -2.984204 ],0
united calling number useless heading airport pick bags whole situation seems like real joke,[ 5.3669763 -3.26796   -2.023714 ],0
americanair want change flight due weather conditions dallas weekend able cover change fee miles,[-2.7518597  5.822783  -3.2718248],1
southwestair hi add flight account created,[-2.0806177  4.83583   -2.8390124],1
usairways checking plane everyone board plane,[-2.110805   4.164752  -2.4568455],1
jetblue kylejudah new stroller travel credit doesnt help cover cost new stroller crew ruined therefore,[ 5.380594 -2.660363 -2.755996],0
americanair every time try call tells try late flightr hangs,[ 5.272699  -2.7360694 -2.395109 ],0
virginamerica partners visa checkout mobile payment method help boost mobile conversion rates,[-2.8836453  5.5714784 -2.6858299],1
united made feel guilty economy plus didnt pay extra leg room,[ 5.4716926 -3.147608  -2.3331726],0
southwestair know hard predict flights dallas nashville tomorrow,[-0.77301407  4.1963716  -3.2251463 ],1
americanair airline trouble winter amp getting good customer service contact negotiate wcompanies foru,[-1.3774838  5.2737765 -4.1550756],1
united doesnt daughter booked gold member miles get upgrade list flight tomorrow,[-2.5651548  5.2420835 -3.0413482],1
united ua flight sfo lax took carry gate im group overhead bins empty,[ 4.872     -2.2154872 -2.8496737],0
southwestair today sporadically changed flight departure times amp left two hours late flight uncharacteristic u,[ 5.417928  -2.9536166 -2.4308412],0
united considering im stuck newark virtually sleep hours doubt hope car rentals available,[ 5.52467   -2.517473  -2.8245776],0
americanair dfwairport together best part flying,[-2.2051575 -2.7024662  5.667233 ],2
usairways hold hour,[ 5.5565515 -2.695817  -2.7448702],0
americanair tried calling got high call volume moment message said goodbye hung up…,[ 5.1732354 -2.110364  -3.098325 ],0
united guys big hearts keep good work,[-2.3611572 -2.1012783  4.946879 ],2
americanair dfwairport trying get canx flight resched since noon got call backs call disconnects soon answer,[ 3.9382617 -0.6680087 -3.617845 ],0
americanair since leaving tomorrow miami one thing right deliver bags airport,[ 5.153111  -3.0490506 -2.0625603],0
jetblue hold music sucks,[ 5.3625665 -2.718344  -2.4644186],0
jetblue found camera thank rock,[-2.4705052 -2.5913656  5.7563615],2
usairways crazy treated mom poorly happy,[ 5.3194003 -3.2072906 -2.1244566],0
united wanted cancelled flightled tickets special guess even united,[ 5.3782744 -2.5181625 -2.7386692],0
united group line gets longer every week almost one left groups anymore time make explorer card group,[ 5.2842402 -1.8823631 -3.3437455],0
southwestair letting dm,[-1.6417675  5.287435  -3.7924757],1
united trying reach number last standbye gave meal voucher potential day standbye,[ 5.174314  -2.5790856 -2.611267 ],0
united thanks reply clarify airfare similar likely intended peer group beer charge however,[-2.7579968   2.746245   -0.12138335],1
united u cld explain disorganized inefficient company w surly obviously unhappy employees stays business,[ 5.524673  -3.1398554 -2.4389098],0
americanair thats im asking exception staffer moving last minutewere nonprofit amp losing want change ticket,[ 2.3654816  1.8712159 -4.2210474],0
usairways flight seattle lbs much fuel water lavoratories nice job guys est min behind,[ 2.1443856  -2.95403     0.80291736],0
americanair show plane,[ 2.7883508  -0.99836093 -1.6268609 ],0
united fee,[ 0.32950997  3.901765   -4.3940835 ],1
thanks southwestair get go imaginedragons show weekend utah velourlive,[-5.546787   2.6544569  2.9203396],2
united thanks causing us miss connection hour delay,[ 4.8238115 -3.6757388 -1.1613432],0
usairways americanair flight sf nyc made philly ur customer service telling refund last leg,[ 2.563339   -2.7519512   0.33411387],0
americanair anything,[-3.6478179  0.7951353  3.124997 ],2
usairways ridiculous flight two hours rest wasted,[ 5.3692455 -3.1350539 -2.2825186],0
americanair changed flight tonight couldnt aa behalf instead flight tomorrow poor effort around,[ 5.276281  -2.8133166 -2.4813073],0
united personal device entertainment system great app crashing every mins im glad free,[ 4.5812583 -3.4158165 -1.3323911],0
southwestair male flight attendant flight orlando indy amazing needs raise 👍 best experience,[-2.229085  -2.6935039  5.6631236],2
united dont ever print known number ticket never get use prescreen paid,[ 5.5783267 -2.8574052 -2.6548831],0
usairways hours minutes want know im still queue,[ 5.603601  -2.741411  -2.8140118],0
jetblue thanks customers like stay loyal check landing,[-2.32958   -1.770846   4.6014037],2
southwestair thanks minutes someone eventually help us took care,[ 0.8846393 -1.9196256  1.1585149],2
usairways stranded without updating departure boards cancelled flightled flight,[ 5.3096366 -3.0212636 -2.3002656],0
“united rikrik made come help anything jp” service hasnt great,[ 4.6616826 -2.4551036 -2.2625186],0
americanair company policy refuses employees speak employees phone interesting,[ 4.7894654 -1.4315432 -3.492401 ],0
southwestair one looks like problem fixed,[-2.433854   0.2751336  2.464607 ],2
usairways thanks cancelled flighting flight today missing required training happy customer,[ 4.7890153 -3.5213342 -1.2194916],0
virginamerica wow blew mind,[-0.02640744 -2.2371147   2.971476  ],2
virginamerica plans short haul airline europe would defiantly fly guys,[-4.8088346  0.9136784  4.0038123],2
usairways dont know luggage seriously,[ 5.1496596 -3.1418114 -2.0985787],0
united change name united incompetence flight monday take hour drive get flight,[ 5.3465095 -2.2408154 -3.024766 ],0
jetblue effort fix points system days call customer service still account update chasing points fun,[ 5.267876  -2.7477152 -2.3954086],0
united trying change flight booked hours ago online system charging fee per passenger could please help,[ 2.757911   1.0081475 -4.2966866],0
united thanks updating hour delay exact second got atl 🙅🙅🙅,[ 2.9109888  -3.1521807   0.23551583],0
united service pretty much ruined day thanks weak attempt,[ 5.2914376 -3.3394008 -1.8930677],0
southwestair thanks taking notch leinenkugels norfolk…,[-3.8423278 -1.0995109  5.25745  ],2
end rt usairways reminder we’ll tweeting americanair join us,[-2.6352305  5.132591  -2.5705528],1
jetblue awww thank b glad hear made day amp one last question idea tail operating flt maro,[-4.570271  -0.4091553  5.504085 ],2
united waited min bags min flight,[ 5.582673  -2.8713353 -2.6128728],0
virginamerica application ios looking saw virgin mexico lt,[-2.2874968  5.614574  -3.638379 ],1
southwestair tv stream means get spend flight watching womens world cup finals,[ 0.16203403  1.8352914  -1.9012171 ],1
usairways amazing best follow please follow back🙏🙏🙏✌️😉,[-3.0384257 -2.2845614  6.0380945],2
jetblue thank fingers crossed,[-3.912207   -0.13677908  4.379104  ],2
jetblues new ceo seeks right balance please passengers wall times colonist,[ 2.4973693   0.39332333 -3.5362096 ],0
